trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.3, 'e': 0.6570468198150567}",25,0,-65.88939158430016,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.3, 'e': 0.6505090947233165}",30,13,-35.82471990312955,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
44,False,"{'a': 0.3, 'e': 0.6440364210831414}",20,0,-45.23898983688727,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
45,False,"{'a': 0.3, 'e': 0.6376281516217733}",20,0,-72.59411662076162,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
46,False,"{'a': 0.3, 'e': 0.631283645506926}",20,0,-106.85493454409928,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.3, 'e': 0.6250022682827008}",20,0,1.3196018327090693,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.3, 'e': 0.6187833918061408}",25,0,-86.17324465858823,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
49,False,"{'a': 0.3, 'e': 0.6126263941844161}",20,0,-47.93309244857673,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.3, 'e': 0.6065306597126334}",25,0,-59.35970213870583,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.3, 'e': 0.6004955788122659}",20,3,-21.46827044151218,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
52,False,"{'a': 0.3, 'e': 0.5945205479701944}",30,6,-36.78330089123557,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.3, 'e': 0.5886049696783552}",30,23,14.14031595934264,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.3, 'e': 0.5827482523739896}",35,22,-0.774962201234179,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.3, 'e': 0.5769498103804866}",30,12,-88.75038064830882,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 2}",1
56,False,"{'a': 0.3, 'e': 0.5712090638488149}",20,0,-20.83782019668284,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
57,False,"{'a': 0.3, 'e': 0.5655254386995371}",30,10,-54.920574519938356,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
